Sr No.,Text,Emotion,StartTime,EndTime
114,Look!,anger,"00:12:02,888","00:12:04,597"
115,"Okay, does this look like a garbage can to you?",anger,"00:12:02,888","00:12:07,016"
116,No.,neutral,"00:12:04,765","00:12:07,016"
117,This is my wedding.,neutral,"00:03:10,815","00:03:12,024"
118,"All right, y’know what? We really are late! Let’s go! Let’s go! Let’s go!!",anger,"00:03:13,318","00:03:16,737"
119,Fine. You’ll-you’ll watch it on video when we get back.,neutral,"00:03:18,781","00:03:21,491"
120,Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.,joy,"00:03:22,869","00:03:25,704"
121,Thank you.,neutral,"0:03:27,790","0:03:28,791"
122,Thank you.,neutral,"0:03:28,791","0:03:28,931"
123,"All right, let’s go! Bye, Pheebs!",joy,"00:03:32,503","00:03:34,463"
124,"Bye, Pheebs!",joy,"00:03:34,631","00:03:36,340"
125,London baby!!,joy,"00:03:40,803","00:03:42,554"
126,"Oh, do you need a hug? You don’t have to bring me anything!",joy,"00:03:44,849","00:03:51,563"
127,Hey!,neutral,"00:09:47,295","00:09:49,045"
128,Hey! So Estelle lined up a bunch of auditions for me tomorrow and I’ll have my health insurance back in no time.,joy,"00:09:47,295","00:09:56,177"
129,"That’s great, but shouldn’t you be on the toilet right now?",disgust,"00:09:57,346","00:10:00,890"
130,What?!,surprise,"0:10:04,312","0:10:05,647"
131,What’s wrong with you?,disgust,"0:10:05,647","0:10:06,929"
132,Nothing!,neutral,"00:10:07,023","00:10:08,023"
133,"Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, haven’t been able to stand up since.",fear,"00:10:08,190","00:10:18,575"
134,"But um, I don’t think it’s anything serious.",neutral,"00:10:18,743","00:10:21,536"
135,This sounds like a hernia. You have to—you-you go to the doctor!,surprise,"00:10:21,704","00:10:24,706"
136,"No way! ‘Kay look, if I have to go to the doctor for anything it’s gonna be for this thing sticking out of my stomach!",fear,"00:10:24,874","00:10:31,463"
137,That’s a hernia.,disgust,"00:10:34,842","00:10:36,009"
138,Why did I have to start working out again?  Damn you 15s!,anger,"00:10:36,177","00:10:41,556"
139,I love your place! Where is this guy from?,joy,"00:10:36,844","00:10:40,930"
140,Uh that’s an eighteenth century Indian artifact from Calcutta.,neutral,"00:10:41,098","00:10:50,899"
141,"Oh wow! So, you’re more than just dinosaurs.",surprise,"00:10:44,894","00:10:50,899"
142,So much more.,neutral,"00:10:51,567","00:10:53,485"
143,"Well, well to sum up, we’re having fun, you look young.",neutral,"00:13:42,112","00:13:53,456"
144,Okay,neutral,"00:13:57,253","00:14:00,171"
145,But that’s not enough. So… So…here’s a key to my apartment.,neutral,"00:13:57,253","00:14:06,135"
146,Really?!,surprise,"0:14:12,184","0:14:14,986"
147,Really.,neutral,"0:14:14,986","0:14:15,320"
148,You don’t think this is too fast.,neutral,"00:14:16,897","00:14:20,316"
149,Get Out!,anger,"00:42:09,652","00:42:13,488"
150,"Ross, can I talk to you for a minute?",neutral,"00:42:15,032","00:42:16,908"
151,"Yes, please!  So, what's going on?",neutral,"00:42:17,117","00:42:23,998"
152,"Uh, well... Joey and I broke up.",sadness,"00:42:26,126","00:42:29,754"
153,"Oh my God, wh-what happened?",surprise,"00:42:30,464","00:42:35,885"
154,"Joey is a great guy, but we're just... so different! I mean, during your speech he kept laughing at homo erectus!",sadness,"00:42:36,053","00:42:44,561"
155,I knew that was him!,anger,"00:42:42,059","00:42:44,561"
156,"Anyway I just, uh, I think it's for the best.",sadness,"00:42:46,313","00:42:50,108"
157,"Hey, you ok?",neutral,"0:42:51,068","0:42:52,950"
158,I guess.,sadness,"0:42:52,950","0:42:55,208"
159,There was hum...  there was another reason that I thought it was time to end it with Joey.,neutral,"00:42:57,866","00:43:05,915"
160,I started to realize that I was having feelings for someone  else.,neutral,"00:43:06,667","00:43:12,547"
161,"Ok Geller. Last day of the conference, you know what happens to the keynote speaker.",neutral,"00:43:14,174","00:43:19,220"
162,"Oh, professor Clerk we're kind of in the middle of a conversation, here.",neutral,"00:43:19,388","00:43:22,765"
163,"Yeah, can you guys just throw him in the pool later?",neutral,"0:43:22,933","0:43:24,905"
164,Or we could throw you both in,joy,"0:43:24,905","0:43:27,073"
165,"Ok, gentlemen!",anger,"0:43:27,187","0:43:28,147"
166,Please!,anger,"0:43:28,147","0:43:28,699"
167,Aren't we a little old for this?,anger,"0:43:28,699","0:43:30,985"
168,"I mean, we're scientists, right?",neutral,"0:43:31,066","0:43:32,788"
169,We're academics.,anger,"0:43:32,788","0:43:33,798"
170,And most importantly I... you-you will have to catch us first.,joy,"00:43:33,902","00:43:37,780"
172,"GO, GO, GO!",joy,"00:43:37,948","00:43:40,366"
173,"Go, go, go!",joy,"00:04:41,197","00:04:42,239"
174,"Oh yeah, now everybody wants to be under this hat!",joy,"00:04:42,407","00:04:44,574"
175,Oy!!,disgust,"00:04:49,455","00:04:50,747"
176,What’s with all this sand?,surprise,"00:04:52,333","00:04:54,001"
177,"Oh, yeah, Bob said there might be flood damage.",neutral,"00:04:54,168","00:04:56,795"
178,"Yeah, either that, or he has a really big cat.",neutral,"00:04:57,005","00:04:59,214"
179,"Okay, see that blind guy right there? I'm gonna bash his head in later.",anger,"00:06:15,416","00:06:19,127"
180,"Oh umm, my big scene is coming up. Big scene coming up.",joy,"00:06:21,506","00:06:25,542"
181,"If you said, ""Big lima bean, bubbling up."" Would she understand the difference?",neutral,"00:06:25,551","00:06:29,012"
182,Rach? What are you doing?,neutral,"00:06:32,183","00:06:33,517"
183,"Oh boy, I just can't watch. It's too scary!",fear,"00:06:33,976","00:06:37,020"
184,It's a diaper commercial.,neutral,"00:06:37,480","00:06:39,731"
185,"Oh yeah well, you know me, babies, responsibilities, ahhh!!!",fear,"00:06:40,817","00:06:43,735"
186,Pizza delivery!,joy,"0:06:47,281","0:06:49,793"
187,I'll get it! I will get that!,joy,"0:06:49,793","0:06:50,887"
188,Hi!,joy,"0:06:53,538","0:06:54,665"
189,Hi!,joy,"0:06:54,665","0:06:54,803"
190,"Hey, you wanna get something to eat or uh, do you wanna see how long we can throw this ball back and forth? Huh?",neutral,"00:05:05,096","00:05:09,474"
191,"Uhh, the ball thing.",neutral,"0:05:09,642","0:05:11,603"
192,Yeah?,neutral,"0:05:11,603","0:05:12,542"
193,"Hey Ross, wouldn't it be great if we could go two straight hours without dropping it?!",joy,"00:05:14,022","00:05:19,109"
194,"Uhh,",neutral,"00:05:19,277","00:05:22,279"
195,Okay!,joy,"00:05:23,489","00:05:24,990"
196,Uh-oh.,fear,"0:05:28,578","0:05:29,670"
197,What?,neutral,"0:05:29,670","0:05:30,222"
198,I have to pee. And Rachel's in the bathroom!,sadness,"00:05:30,330","00:05:34,166"
199,"Man, I didn't think we were gonna make it!",surprise,"00:05:39,047","00:05:41,548"
200,"I know!  Don't switch hands, okay?",fear,"00:05:42,383","00:05:45,969"
201,Hey.,neutral,"0:10:11,861","0:10:14,990"
202,Hey!,neutral,"0:10:14,990","0:10:15,133"
203,How did it go with Erin?,neutral,"00:10:56,155","00:10:59,157"
204,"Oh, unbelievable! We had the best time!",joy,"00:10:59,408","00:11:01,368"
205,"Yay!! Oh so, you’re not, you’re not mad at us anymore?",joy,"00:11:01,535","00:11:06,164"
206,No!,joy,"0:11:02,703","0:11:03,538"
207,No!,joy,"0:11:03,538","0:11:04,760"
208,No!,joy,"0:11:04,760","0:11:05,303"
209,You guys were totally right!,joy,"0:11:05,303","0:11:06,298"
210,This is so much better than the first time we went out.,joy,"00:11:06,374","00:11:08,625"
211,Y’know?,neutral,"00:11:08,625","00:11:08,834"
212,"That was so awkward, we were really nervous.",neutral,"00:11:08,834","00:11:11,378"
213,Didn’t you sleep together?,neutral,"0:11:11,629","0:11:12,811"
214,"Yeah, that really calms me down.",neutral,"0:11:12,811","0:11:14,723"
215,And!,joy,"0:11:16,801","0:11:18,595"
216,We have so much in common!,joy,"0:11:18,595","0:11:18,734"
217,"She loves sandwiches, sports, although she is a Met fan, not much of an issue now but if we were ever to have kids, well that’s a",joy,"00:11:18,928","00:11:31,356"
218,"Oh my God! Listen to you talkin’ about having kids. Oh my Joey.  Oh, please don’t get married before I do.",surprise,"00:11:27,228","00:11:37,862"
219,Okay.,neutral,"00:11:41,742","00:11:43,493"
220,How does she do that?,surprise,"00:01:49,275","00:01:51,485"
221,I cannot sleep in a public place.,neutral,"00:01:51,653","00:01:54,822"
222,Would you look at her? She is so peaceful.,joy,"00:01:54,989","00:02:00,994"
223,Oh! What what what! ...Hi.,surprise,"00:02:01,162","00:02:03,622"
224,"It's okay, y'know, you just nodded off again.",neutral,"00:02:03,790","00:02:05,958"
225,What's going on with you?,surprise,"00:02:06,126","00:02:08,127"
226,I got no sleep last night!,anger,"0:02:08,294","0:02:09,587"
227,Why?,neutral,"0:02:09,587","0:02:09,991"
228,"My grandmother has this new boyfriend, and they're both kind of insecure in bed.",disgust,"00:02:10,088","00:02:17,177"
229,"Oh, and deaf.",neutral,"00:02:17,345","00:02:18,887"
230,"So they're constantly, like, having to reassure each other that they're having a good time.",neutral,"00:02:20,682","00:02:24,726"
231,You have no idea how loud they are!,disgust,"00:02:24,894","00:02:26,937"
232,"Well, if you want, you can stay with Rachel and me tonight.",neutral,"0:02:29,023","0:02:30,900"
233,Thanks.,joy,"0:02:30,900","0:02:32,175"
234,Ew! What is that? Something exploded!,disgust,"00:09:00,248","00:09:03,667"
235,"It's just her water breaking. Calm down, will you?",neutral,"00:09:03,834","00:09:06,169"
236,"Water breaking, what do you mean? What's that, water breaking?",surprise,"00:09:06,337","00:09:09,714"
237,"Breathe, breathe, breathe.",neutral,"00:09:09,882","00:09:13,510"
238,"Are you insane? I mean Joey, is going to kill you, he’s actually going to kill you dead.",surprise,"00:10:13,321","00:10:19,909"
239,Okay! You don’t think I thought of that?,anger,"00:10:17,825","00:10:19,909"
240,How can you not know which one?,surprise,"0:10:20,870","0:10:22,422"
241,I mean that’s unbelievable.,joy,"0:10:22,422","0:10:23,751"
242,"I mean, was it Gina?",neutral,"0:10:23,873","0:10:24,873"
243,Which one is Gina?,neutral,"0:10:24,873","0:10:25,937"
244,"Dark, big hair, with the airplane earrings.",neutral,"00:10:26,042","00:10:28,209"
245,"No, no, no, that’s Dina.",neutral,"00:10:28,377","00:10:30,420"
246,"You see you can’t tell which one is which either, dwha!!",surprise,"00:10:30,588","00:10:44,809"
247,"I don’t know, you thought ‘See you Saturday’ was funny.",neutral,"00:10:40,389","00:10:44,059"
248,"Look honey, Mark is in fashion okay, I like having a friend that I can share this stuff with.",neutral,"00:10:44,727","00:10:49,397"
249,You guys would never want to go to a lecture with me.,neutral,"00:10:49,565","00:10:51,483"
250,Pa-haa!! I would love to go with you.,joy,"00:10:54,987","00:10:56,571"
251,Really!?,surprise,"00:10:56,739","00:10:57,864"
252,"Yeah, hey I-I have clothes, I even pick them out.",neutral,"00:10:58,032","00:11:01,660"
253,"I mean for, for all you know I could be a fashion..... monger.",neutral,"00:11:01,827","00:11:05,121"
254,"Okay. Honey, I would love for you to go with me.  What?",joy,"00:11:11,379","00:11:15,256"
255,"What should I wear, now I’m all nervous.",fear,"00:11:15,549","00:11:19,969"
256,": I know, we did it!! Hey, that was incredible, huh?!",joy,"00:20:36,693","00:20:40,321"
257,"I know, it was amazing! I mean, we totally nailed it, it was beautiful.",joy,"00:20:40,572","00:20:44,075"
258,": Thank you, listen, thanks a lot Tribbiani, . Oh my God, look at the time, I gotta catch the bus to the ball.",joy,"00:20:44,284","00:20:51,916"
259,"Oh well, okay, good luck.",joy,"00:20:52,459","00:20:56,462"
260,: Yeah.,neutral,"00:20:54,962","00:20:56,462"
261,Unless you wanna practice the Foxtrot again? Or-or the Tango?,neutral,"00:20:56,713","00:21:00,716"
262,": Ahh, thanks but no. You see I-I think I’m ready to dance with girls.",neutral,"00:21:01,093","00:21:09,350"
263,Okay.,neutral,"0:21:08,100","0:21:08,742"
264,: Yeah.,neutral,"0:21:08,742","0:21:09,402"
265,Go get ‘em Treeger.,neutral,"00:21:09,601","00:21:11,852"
266,": Right.  Hey, ahh, you wanna come? Marge has a girlfriend.",neutral,"00:21:16,275","00:21:19,860"
267,Really?,surprise,"00:21:21,029","00:21:22,113"
268,": Yeah, you could dance real good with her, she’s the same size as me.",neutral,"00:21:22,364","00:21:24,991"
269,"No, I’m good.",neutral,"00:21:25,367","00:21:26,867"
270,"Oh God, this is so nerve wracking! How-how do you do this?",surprise,"00:09:41,414","00:09:44,958"
271,"Well, unfortunately, I don't get many callbacks so",neutral,"00:09:45,126","00:09:48,128"
272,Is it a good sign that they asked us to hang around after the audition?,surprise,"00:09:49,046","00:09:51,715"
273,Who knows?,neutral,"00:09:51,882","00:09:53,508"
274,"Okay uh, we have narrowed it down to Raymond, Ben, Kyle, and Joey. The rest of you, thank you very much.",neutral,"00:09:55,219","00:10:02,976"
275,Yes!! I knew it!!  Bye-bye! So long! Later!,joy,"00:10:03,144","00:10:13,403"
276,Oh this is great! I might actually get to play Ben's dad!,joy,"00:10:15,281","00:10:17,824"
277,Yeah!,joy,"00:10:17,824","00:10:18,743"
278,"Actually, that can't happen.",neutral,"00:10:18,743","00:10:20,243"
279,"Yeah because you all have such different looks, we're putting you with Raymond and Kyle with Ben.",neutral,"00:10:20,411","00:10:25,665"
280,So it'll be either you two  or you two.,neutral,"00:10:25,833","00:10:28,585"
281,"Man, this is gonna be kinda weird.",sadness,"00:10:29,920","00:10:35,508"
282,"Yeah, it is.",neutral,"00:10:32,757","00:10:35,508"
283,"No, we-we're gonna be like best friends, that's why it's gonna be weird.",neutral,"00:10:40,514","00:10:44,142"
284,"Okay, come on, I can't get married until I get something old, something new, something borrowed, and something blue.",sadness,"00:20:18,592","00:20:24,805"
285,"Okay, all right, all right, all right! Okay!  Okay, here's something, here's something blue and new.",joy,"00:21:04,763","00:21:11,060"
286,Please!,anger,"0:19:16,989","0:19:19,201"
287,Are you kidding?,anger,"0:19:19,201","0:19:19,673"
288,"I-I hurt three huge men, I gave a guy a bloody nose—I mean I-I’m not proud of it but, I really am.",anger,"0:19:19,673","0:19:19,821"
289,"And it’s all because of you, wonderful, amazing you.",joy,"00:19:27,916","00:19:29,917"
290,I think you’ve got concussion.,fear,"00:19:30,085","00:19:34,839"
291,"No, no, I’m serious. Thank you.",joy,"00:19:35,007","00:19:37,592"
292,You’re welcome.  I’m sorry. Did I hurt you?,fear,"00:19:38,802","00:19:46,142"
293,"It’s worth the pain.  Y’know what, you know what? It’s not.",sadness,"00:19:47,728","00:19:50,021"
294,Wow! That Mike thing was interesting! I don't know what's gonna happen with Phoebe and David.,surprise,"00:08:23,586","00:08:31,426"
295,"I do! Want a hint? huh? ""I do""  ""I do"".",joy,"00:08:26,839","00:08:31,426"
296,"Ok, I'm sensing that this is some kind of word play, because you are pink with barely controlled glee.",neutral,"00:08:40,228","00:08:43,188"
297,David is going to propose to Phoebe.,joy,"0:08:44,083","0:08:45,668"
298,What?  Why?,surprise,"0:08:45,668","0:08:48,470"
300,"Chandler, we have talked about this.",anger,"00:08:54,575","00:08:56,952"
301,You are not supposed to give people advice!,anger,"00:08:57,119","00:08:59,871"
302,Now couldn't you just have made some sort of inappropriate joke?,anger,"00:09:01,541","00:09:04,209"
303,I,neutral,"00:09:04,377","00:09:06,503"
304,They've only been going out for a few weeks and Phoebe is completely hung up on Mike!,anger,"00:09:09,924","00:09:16,555"
305,"She'll say ""No"", David's heart will be broken, it will be too hard for them to recover from and then Phoebe will end up alone",anger,"00:09:16,722","00:09:26,356"
306,"Man, that's some",surprise,"00:09:24,146","00:09:26,356"
307,"Oh, that's not what you want...",neutral,"00:30:29,953","00:30:38,126"
308,"This is my father, Paul Stevens. Dad, this is Ross Geller.",neutral,"00:04:19,342","00:04:23,262"
309,It-it’s great to meet you Paul.,joy,"00:04:23,429","00:04:25,847"
310,I usually prefer Elizabeth’s boyfriends to address me as Mr. Stevens.,neutral,"00:04:26,015","00:04:29,476"
311,"Of course, of course, Mr. Stevens.",neutral,"00:04:30,812","00:04:33,021"
312,"So Ross, what your problem?",anger,"00:04:33,189","00:04:37,901"
313,Eh-wh—Excuse me?,surprise,"00:04:39,862","00:04:41,113"
314,Why can’t you get a girlfriend your own age?,anger,"00:04:41,281","00:04:43,282"
315,That’s funny. Umm….  It’s not funny.,fear,"00:04:43,992","00:04:52,374"
316,I,neutral,"00:04:49,706","00:04:52,374"
317,Okay.,neutral,"0:04:52,542","0:04:52,844"
318,"I can, I can see that.",neutral,"0:04:52,844","0:04:55,338"
319,"Umm, but I think if you give me umm, one chance I can, I can change your mind.",fear,"00:04:55,461","00:05:00,799"
320,Okay.,neutral,"0:05:00,967","0:05:01,779"
321,What?,neutral,"0:05:01,779","0:05:03,485"
322,Okay. I’ll give you one chance to change my mind.  You got one minute.,anger,"00:05:03,594","00:05:09,057"
323,Daddy!,surprise,"00:05:10,101","00:05:11,977"
324,"Oh well, it’s not on TV yet.",neutral,"00:04:32,563","00:04:35,774"
325,"Well, then it’s not on the wall yet.",neutral,"00:04:35,942","00:04:38,110"
326,"Okay, fine, I will bring you a tape, huh?",neutral,"00:04:39,779","00:04:43,865"
327,"So umm, now do you have any of Matt Lauer’s clothes here? Maybe? Just ones that haven’t been cleaned yet?",neutral,"00:04:44,534","00:04:50,372"
329,Ooooohh!,surprise,"00:10:59,992","00:11:01,034"
330,"Oh yeah, I'm sure.  And all of a sudden his hands weren't the problem anymore.",neutral,"00:11:01,202","00:11:14,005"
331,Was it...?,surprise,"00:11:18,386","00:11:19,487"
332,"Oh, boy scouts could have camped under there.",neutral,"00:11:19,595","00:11:22,097"
333,"""Ooo,"" what?",surprise,"0:11:24,225","0:11:26,687"
334,Uma Thurman.,neutral,"0:11:26,687","0:11:26,829"
335,Oh!,surprise,"0:11:26,936","0:11:28,021"
336,The actress!,surprise,"0:11:28,021","0:11:28,166"
337,Thanks Rach.,neutral,"00:11:31,023","00:11:32,732"
338,So what are you gonna do?,surprise,"0:11:34,652","0:11:35,824"
339,You have to tell her!,joy,"0:11:35,824","0:11:36,658"
340,You have to tell her!,joy,"00:11:36,779","00:11:39,531"
341,"It's your moral obligation, as a friend, as a woman, I think it's a feminist issue!",anger,"00:11:36,779","00:11:43,076"
342,Guys?,anger,"0:11:39,699","0:11:40,033"
343,Guys?,anger,"0:11:40,033","0:11:43,147"
344,"Oh, yeah, you have to tell her.",neutral,"00:11:43,244","00:11:45,120"
345,Feminist issue. That's where I went!,neutral,"00:11:45,287","00:11:46,788"
346,She is gonna hate me.,fear,"00:11:48,833","00:11:50,083"
347,"Yeah, well...",neutral,"00:11:50,251","00:11:51,251"
328,Will you marry me?,fear,"00:03:44,724","00:03:49,102"
329,It’s the big night! We wanted to wish you good luck!,joy,"00:04:01,741","00:04:03,951"
